event_id,source_type,source,source_url,city,date,title_or_name,lat,lon,severity,frequency_tier,extraction_method,confidence
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Tropical Cyclone Phet),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Monsoonal Rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Monsoonal Rain),,,1,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Monsoon Rains),,,1.5,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Monsoon Rains),,,1.5,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Heavy Rain and Storm Surge),,,1.5,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Monsoonal Rain),,,2,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Monsoonal Rain),,,1.5,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Torrential Rain),,,2,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Monsoonal Rain),,,1.5,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Heavy Rain),,,1.5,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,"DFO flood (Monsoon Rain, began with #4078)",,,1.5,,gee_global_flood_db,medium
,global_flood_db,Global Flood Database v1 (MODIS/DFO),https://global-flood-database.cloudtostreet.ai/,delhi,,DFO flood (Heavy Rain),,,1.5,,gee_global_flood_db,medium
mumbai-hs002,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),mumbai,,Andheri Subway,19.11929,72.84698,chronic,chronic,curated+geocoded,high
mumbai-hs004,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),mumbai,,Sion Subway,19.04436,72.86438,chronic,chronic,curated+geocoded,high
mumbai-hs006,documented_hotspot,PWD / Traffic-Police waterlogging advisories (media-documented),https://nominatim.openstreetmap.org/ (geocode),mumbai,,Kurla LBS Marg,19.08354,72.88257,chronic,chronic,curated+geocoded,high
